date,time,open,high,low,close,tickvol,vol,spread
2025.09.18,05:55:00,146.906,146.909,146.897,146.906,24,0,0
2025.09.18,05:56:00,146.906,146.910,146.905,146.908,15,0,1
2025.09.18,05:57:00,146.908,146.909,146.903,146.904,26,0,1
2025.09.18,05:58:00,146.904,146.907,146.903,146.905,17,0,0
2025.09.18,05:59:00,146.905,146.906,146.900,146.905,25,0,0
2025.09.18,06:00:00,146.906,146.906,146.853,146.854,62,0,0
2025.09.18,06:01:00,146.854,146.886,146.852,146.885,84,0,0
2025.09.18,06:02:00,146.886,146.909,146.884,146.907,75,0,0
2025.09.18,06:03:00,146.907,146.914,146.904,146.904,41,0,0
2025.09.18,06:04:00,146.906,146.933,146.906,146.931,78,0,0
2025.09.18,06:05:00,146.932,146.936,146.927,146.934,60,0,0
2025.09.18,06:06:00,146.934,146.943,146.911,146.912,26,0,1
2025.09.18,06:07:00,146.913,146.934,146.913,146.930,45,0,0
2025.09.18,06:08:00,146.930,146.946,146.930,146.942,53,0,0
2025.09.18,06:09:00,146.941,146.943,146.936,146.937,36,0,0
2025.09.18,06:10:00,146.937,146.939,146.922,146.926,36,0,0
2025.09.18,06:11:00,146.926,146.931,146.924,146.931,21,0,0
2025.09.18,06:12:00,146.931,146.933,146.911,146.915,41,0,0
2025.09.18,06:13:00,146.916,146.922,146.904,146.910,30,0,0
2025.09.18,06:14:00,146.910,146.927,146.910,146.927,29,0,0
2025.09.18,06:15:00,146.926,146.936,146.920,146.929,53,0,0
2025.09.18,06:16:00,146.929,146.944,146.928,146.944,39,0,0
2025.09.18,06:17:00,146.947,146.948,146.934,146.937,45,0,0
2025.09.18,06:18:00,146.938,146.943,146.927,146.937,52,0,0
2025.09.18,06:19:00,146.939,146.948,146.933,146.940,42,0,0
2025.09.18,06:20:00,146.941,146.943,146.938,146.940,37,0,0
2025.09.18,06:21:00,146.940,146.940,146.927,146.928,23,0,0
2025.09.18,06:22:00,146.929,146.944,146.928,146.938,48,0,1
2025.09.18,06:23:00,146.938,146.954,146.928,146.953,46,0,0
2025.09.18,06:24:00,146.953,146.955,146.951,146.954,11,0,0
2025.09.18,06:25:00,146.954,146.956,146.953,146.956,18,0,1
2025.09.18,06:26:00,146.956,146.965,146.956,146.965,18,0,0
2025.09.18,06:27:00,146.965,146.974,146.964,146.965,44,0,0
2025.09.18,06:28:00,146.965,146.980,146.965,146.979,40,0,0
2025.09.18,06:29:00,146.983,146.984,146.974,146.976,23,0,0
2025.09.18,06:30:00,146.974,146.988,146.972,146.984,36,0,0
2025.09.18,06:31:00,146.984,146.987,146.984,146.984,24,0,0
2025.09.18,06:32:00,146.985,146.986,146.973,146.976,33,0,0
2025.09.18,06:33:00,146.976,146.986,146.972,146.974,16,0,0
2025.09.18,06:34:00,146.974,146.975,146.962,146.964,18,0,1
